Permission,Short Description,Android Protection Level,Deprecated?,Hidden?,Permission Group,PII Accessed?,PII Type,API Methods,Special Notes,Long Description
ACCEPT_HANDOVER,Allows a calling app to continue a call which was started in another app.,Dangerous,No,No,UNDEFINED (PHONE),No,,,,"Allows a calling app to continue a call which was started in another app. An example is a video calling app that wants to continue a voice call on the user's mobile network. When the handover of a call from one app to another takes place, there are two devices which are involved in the handover; the initiating and receiving devices. The initiating device is where the request to handover the call was started, and the receiving device is where the handover request is confirmed by the other party. This permission protects access to the TelecomManager.acceptHandover(Uri, int, PhoneAccountHandle) which the receiving side of the handover uses to accept a handover."
ACCESS_AMBIENT_LIGHT_STATS,Allows an application to collect ambient light stats.,Not for use by 3rd-parties | Signature | privileged | development,No,Yes,NONE (private permissions),,,,System API.,Allows an application to collect ambient light stats.
ACCESS_BACKGROUND_LOCATION,Allows an app to access location in the background.,Dangerous | instant,No,No,UNDEFINED (LOCATION),Yes,LOCATION,,This is a hard restricted permission which cannot be held by an app until the installer on record whitelists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set).,"Allows an app to access location in the background. If you're requesting this permission, you must also request either ACCESS_COARSE_LOCATION or ACCESS_FINE_LOCATION. Requesting this permission by itself doesn't give you location access. "
ACCESS_BROADCAST_RADIO,Allows access to Broadcast Radio.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (hardware),,,,System API.,Allows access to Broadcast Radio.
ACCESS_CACHE_FILESYSTEM,Allow an application to read and write the cache partition.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allow an application to read and write the cache partition.
ACCESS_CHECKIN_PROPERTIES,"Allows read/write access to the ""properties"" table in the checkin database, to change values that get uploaded.",Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permissions),,,,,"Allows read/write access to the ""properties"" table in the checkin database, to change values that get uploaded."
ACCESS_COARSE_LOCATION,Allows an app to access approximate location.,Dangerous | instant,No,No,UNDEFINED (LOCATION),Yes,LOCATION,,,"Allows an app to access approximate location. Alternatively, you might want ACCESS_FINE_LOCATION."
ACCESS_CONTENT_PROVIDERS_EXTERNALLY,Allows the holder to access content providers from outside an ApplicationThread.,Signature,No,Yes,NONE (private permissions),,,,"This permission is enforced by the ActivityManagerService on the corresponding APIs, in particular ActivityManagerService#getContentProviderExternal(String) and ActivityManagerService#removeContentProviderExternal(String).",Allows the holder to access content providers from outside an ApplicationThread.
ACCESS_DRM_CERTIFICATES,Allows an application to provision and access DRM certificates.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,Intended for system apps. System API.,Allows an application to provision and access DRM certificates.
ACCESS_FINE_LOCATION,Allows an app to access precise location.,Dangerous | instant,No,No,UNDEFINED (LOCATION),Yes,LOCATION,,,"Allows an app to access precise location. Alternatively, you might want ACCESS_COARSE_LOCATION."
ACCESS_FM_RADIO,Allows access to FM.,Not for use by 3rd-parties | Signature | privileged,Yes,Yes,NONE (hardware),,,,System API.,Allows access to FM.
ACCESS_IMS_CALL_SERVICE,Allows an application to access the IMS call service: making and modifying a call.,Signature | privileged,No,Yes,NONE (CALL_LOG),,,,,Allows an application to access the IMS call service: making and modifying a call.
APPROVE_INCIDENT_REPORTS,Allow an application to approve incident and bug reports to be shared off-device.,Not for use by 3rd-parties | Signature | incidentReportApprover,No,Yes,NONE (special dev tools),,,,"There can be only one application installed on the device with this permission, and since this is a privileged permission, it must be in priv-app. System API. Test API.",Allow an application to approve incident and bug reports to be shared off-device.
ACCESS_INPUT_FLINGER,Allows an application to use InputFlinger's low level features.,Signature,No,Yes,NONE (private permissions),,,,,Allows an application to use InputFlinger's low level features.
ACCESS_INSTANT_APPS,Allows the holder to access and manage instant applications on the device.,Signature | installer | verifier | wellbeing,No,Yes,NONE (private permissions),,,,System API.,Allows the holder to access and manage instant applications on the device.
ACCESS_KEYGUARD_SECURE_STORAGE,Allows access to keyguard secure storage.,Only allowed for system processes | Signature,No,Yes,NONE (private permissions),,,,,Allows access to keyguard secure storage.
ACCESS_LOCATION_EXTRA_COMMANDS,Allows an application to access extra location provider commands.,Normal,No,No,NONE (location info),,,,,Allows an application to access extra location provider commands.
ACCESS_LOWPAN_STATE,Allows applications to access information about LoWPAN interfaces.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (network),,,,System API.,Allows applications to access information about LoWPAN interfaces.
ACCESS_MEDIA_LOCATION,Allows an application to access any geographic locations persisted in the user's shared collection.,Dangerous,No,No,UNDEFINED (STORAGE),,,,,Allows an application to access any geographic locations persisted in the user's shared collection.
ACCESS_MOCK_LOCATION,Allows an application to create mock location providers for testing.,Signature,No,Yes,NONE (location info),,,,System API.,Allows an application to create mock location providers for testing.
ACCESS_MTP,Allows an application to access the MTP USB kernel driver.,For use only by the device side MTP implementation | Signature | privileged,No,Yes,NONE (hardware),,,,System API.,Allows an application to access the MTP USB kernel driver.
ACCESS_NETWORK_CONDITIONS,Allows an application to listen for network condition observations.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,Intended for system apps. System API.,Allows an application to listen for network condition observations.
ACCESS_NETWORK_STATE,Allows applications to access information about networks.,Normal | instant,No,No,NONE (network),,,,,Allows applications to access information about networks.
ACCESS_NOTIFICATION_POLICY,Marker permission for applications that wish to access notification policy.,Normal,No,No,NONE (private permissions),,,,,Marker permission for applications that wish to access notification policy. This permission is not supported on managed profiles.
